Title,Production Budget,Release Date
Dungeons and Dragons,"$35,000,000",Dec 08 2000
Duplex,"$40,000,000",Sep 26 2003
"You, Me and Dupree","$54,000,000",Jul 14 2006
Devil's Advocate,"$57,000,000",Oct 17 1997
The Da Vinci Code,"$125,000,000",May 19 2006
D-War,"$32,000,000",Sep 14 2007
Deuces Wild,"$10,000,000",May 03 2002
Down to Earth,"$30,000,000",Feb 16 2001
Down to You,"$9,000,000",Jan 21 2000
I'm Not There,"$20,000,000",Nov 21 2007
Easy A,"$8,000,000",Sep 17 2010
The Eclipse,"$3,000,000",Feb 26 2010
Edge of Darkness,"$60,000,000",Jan 29 2010
EDtv,"$60,000,000",Mar 26 1999
An Education,"$7,500,000",Oct 09 2009
East is East,"$3,000,000",Apr 14 2000
8 Heads in a Duffel Bag,"$3,000,000",Apr 18 1997
Eagle Eye,"$80,000,000",Sep 26 2008
8MM,"$40,000,000",Feb 26 1999
Iris,"$5,500,000",Dec 14 2001
Election,"$8,500,000",Apr 23 1999
Elektra,"$65,000,000",Jan 14 2005
Elf,"$32,000,000",Nov 07 2003
Elizabeth,"$25,000,000",Nov 06 1998
Ella Enchanted,"$35,000,000",Apr 09 2004
Once Upon a Time in Mexico,"$29,000,000",Sep 12 2003
The Adventures of Elmo in Grouchland,"$17,000,000",Oct 01 1999
The Emperor's Club,"$12,500,000",Nov 22 2002
Empire,"$3,500,000",Dec 06 2002
La marche de l'empereur,"$3,400,000",Jun 24 2005
Employee of the Month,"$10,000,000",Oct 06 2006
The Emperor's New Groove,"$100,000,000",Dec 15 2000
Enchanted,"$85,000,000",Nov 21 2007
The End of the Affair,"$23,000,000",Dec 03 1999
End of Days,"$100,000,000",Nov 24 1999
End of the Spear,"$10,000,000",Jan 20 2006
Enemy at the Gates,"$85,000,000",Mar 16 2001
Enemy of the State,"$85,000,000",Nov 20 1998
Entrapment,"$66,000,000",Apr 30 1999
Enough,"$38,000,000",May 24 2002
Envy,"$20,000,000",Apr 30 2004
Epic Movie,"$20,000,000",Jan 26 2007
Eragon,"$100,000,000",Dec 15 2006
Erin Brockovich,"$50,000,000",Mar 17 2000
Elizabethtown,"$54,000,000",Oct 14 2005
Eat Pray Love,"$60,000,000",Aug 13 2010
Eternal Sunshine of the Spotless Mind,"$20,000,000",Mar 19 2004
Eulogy,"$10,000,000",Oct 15 2004
Eureka,"$2,000,000",May 04 2001
Eurotrip,"$25,000,000",Feb 20 2004
Eve's Bayou,"$5,000,000",Nov 07 1997
Event Horizon,"$60,000,000",Aug 15 1997
Ever After: A Cinderella Story,"$26,000,000",Jul 31 1998
Evita,"$55,000,000",Dec 25 1996
Evolution,"$80,000,000",Jun 08 2001
An Everlasting Piece,"$4,000,000",Dec 25 2000
Fong juk,"$4,500,000",Aug 31 2007
Exit Wounds,"$33,000,000",Mar 16 2001
The Exorcism of Emily Rose,"$18,000,000",Sep 09 2005
Exorcist: The Beginning,"$78,000,000",Aug 20 2004
The Express,"$37,500,000",Oct 04 2008
eXistenZ,"$20,700,000",Apr 23 1999
Extract,"$7,500,000",Sep 04 2009
Extreme Ops,"$40,000,000",Nov 27 2002
Eyes Wide Shut,"$65,000,000",Jul 16 1999
The Faculty,"$15,000,000",Dec 25 1998
Failure to Launch,"$50,000,000",Mar 10 2006
Keeping the Faith,"$29,000,000",Apr 14 2000
Fame,"$18,000,000",Sep 25 2009
The Family Stone,"$18,000,000",Dec 16 2005
Lisa Picard is Famous,"$1,000,000",Aug 22 2001
Fantasia 2000 (Theatrical Release),"$80,000,000",Jun 16 2000
Far From Heaven,"$13,500,000",Nov 08 2002
Fascination,"$5,000,000",Jan 28 2005
Father's Day,"$85,000,000",May 09 1997
Facing the Giants,"$100,000",Sep 29 2006
Face/Off,"$80,000,000",Jun 27 1997
Final Destination 2,"$26,000,000",Jan 31 2003
Final Destination 3,"$25,000,000",Feb 10 2006
The Final Destination,"$40,000,000",Aug 28 2009
FearDotCom,"$40,000,000",Aug 30 2002
Fear and Loathing in Las Vegas,"$18,500,000",May 22 1998
Feast,"$3,200,000",Sep 22 2006
The Fifth Element,"$95,000,000",May 09 1997
Femme Fatale,"$35,000,000",Nov 06 2002
Bring it On,"$10,000,000",Aug 25 2000
Fantastic Four,"$87,500,000",Jul 08 2005
54,"$13,000,000",Aug 28 1998
2 Fast 2 Furious,"$76,000,000",Jun 06 2003
The Fast and the Furious,"$38,000,000",Jun 22 2001
Fool's Gold,"$72,500,000",Feb 08 2008
Fahrenheit 9/11,"$6,000,000",Jun 23 2004
Capitalism: A Love Story,"$20,000,000",Sep 23 2009
From Hell,"$35,000,000",Oct 19 2001
Fido,"$8,000,000",Jun 15 2007
Fight Club,"$65,000,000",Oct 15 1999
Final Fantasy: The Spirits Within,"$137,000,000",Jul 11 2001
Finding Forrester,"$43,000,000",Dec 19 2000
Freddy Got Fingered,"$15,000,000",Apr 20 2001
Firestorm,"$19,000,000",Jan 09 1998
Fish Tank,"$3,000,000",Jan 15 2010
Felicia's Journey,"$15,000,000",Nov 12 1999
From Justin to Kelly,"$12,000,000",Jun 20 2003
Final Destination,"$23,000,000",Mar 17 2000
Flags of Our Fathers,"$53,000,000",Oct 20 2006
Flawless,"$27,000,000",Nov 24 1999
Flammen og Citronen,"$9,000,000",Jul 31 2009
Flicka,"$15,000,000",Oct 20 2006
Flight of the Phoenix,"$75,000,000",Dec 17 2004
United 93,"$18,000,000",Apr 28 2006
Flubber,"$80,000,000",Nov 26 1997
Flushed Away,"$149,000,000",Nov 03 2006
Flyboys,"$60,000,000",Sep 22 2006
Fly Me To the Moon,"$25,000,000",Aug 15 2008
Find Me Guilty,"$13,000,000",Mar 17 2006
The Family Man,"$60,000,000",Dec 22 2000
Friends with Money,"$6,500,000",Apr 07 2006
Finding Nemo,"$94,000,000",May 30 2003
Finishing the Game,"$500,000",Oct 05 2007
Foodfight!,"$65,000,000",Dec 31 2009
Formula 51,"$27,000,000",Oct 18 2002
The Fountain,"$35,000,000",Nov 22 2006
Fantastic Four: Rise of the Silver Surfer,"$120,000,000",Jun 15 2007
Farce of the Penguins,"$5,000,000",Jan 30 2007
Flightplan,"$55,000,000",Sep 23 2005
Frailty,"$11,000,000",Apr 12 2002
The Forbidden Kingdom,"$55,000,000",Apr 18 2008
Freedom Writers,"$21,000,000",Jan 05 2007
Next Friday,"$9,500,000",Jan 12 2000
Freaky Friday,"$26,000,000",Aug 06 2003
Frequency,"$31,000,000",Apr 28 2000
Serenity,"$39,000,000",Sep 30 2005
The Forgotton,"$50,000,000",Sep 24 2004
Jason X,"$14,000,000",Apr 26 2002
Friday the 13th,"$17,000,000",Feb 13 2009
Friday After Next,"$10,000,000",Nov 22 2002
Frida,"$12,000,000",Oct 25 2002
Friday Night Lights,"$30,000,000",Oct 08 2004
Frozen River,"$1,000,000",Aug 01 2008
The Princess and the Frog,"$105,000,000",Nov 25 2009
Full Frontal,"$2,000,000",Aug 02 2002
Fireproof,"$500,000",Sep 26 2008
The Forsaken,"$5,000,000",Apr 27 2001
Frost/Nixon,"$29,000,000",Dec 05 2008
Factory Girl,"$7,000,000",Dec 29 2006
Fateless,"$12,000,000",Jan 06 2006
The Full Monty,"$3,500,000",Aug 13 1997
Fun With Dick And Jane,"$140,000,000",Dec 21 2005
Funny People,"$70,000,000",Jul 31 2009
Fur,"$16,800,000",Nov 10 2006
Furry Vengeance,"$35,000,000",Apr 30 2010
Fever Pitch,"$40,000,000",Apr 08 2005
For Your Consideration,"$12,000,000",Nov 17 2006
The Game,"$50,000,000",Sep 12 1997
Gangs of New York,"$97,000,000",Dec 20 2002
Garfield,"$50,000,000",Jun 11 2004
Georgia Rule,"$20,000,000",May 11 2007
Gattaca,"$36,000,000",Oct 24 1997
"Gone, Baby, Gone","$19,000,000",Oct 19 2007
"Goodbye, Lenin!","$6,400,000",Feb 27 2004
Good Boy!,"$17,000,000",Oct 10 2003
Gods and Generals,"$55,000,000",Feb 21 2003
The Good German,"$32,000,000",Dec 15 2006
Gods and Monsters,"$3,500,000",Nov 06 1998
The Good Night,"$15,000,000",Oct 05 2007
The Good Thief,"$30,000,000",Apr 02 2003
George and the Dragon,"$32,000,000",Dec 31 2004
Gerry,"$7,000,000",Feb 14 2003
G-Force,"$82,500,000",Jul 24 2009
Gridiron Gang,"$30,000,000",Sep 15 2006
The Good Girl,"$8,000,000",Aug 07 2002
Ghost Ship,"$20,000,000",Oct 25 2002
Ghosts of Mississippi,"$36,000,000",Dec 20 1996
The Glass House,"$22,000,000",Sep 14 2001
Ghost Rider,"$120,000,000",Feb 16 2007
Ghost Town,"$20,000,000",Sep 19 2008
The Gift,"$10,000,000",Dec 19 2000
Gigli,"$54,000,000",Aug 01 2003
G.I.Jane,"$50,000,000",Aug 22 1997
G.I. Joe: The Rise of Cobra,"$175,000,000",Aug 07 2009
"Girl, Interrupted","$24,000,000",Dec 21 1999
Gladiator,"$103,000,000",May 05 2000
Glitter,"$8,500,000",Sep 21 2001
Gloria,"$30,000,000",Jan 22 1999
Good Luck Chuck,"$25,000,000",Sep 21 2007
John Carpenter's Ghosts of Mars,"$28,000,000",Aug 24 2001
The Green Mile,"$60,000,000",Dec 10 1999
The Game of Their Lives,"$20,000,000",Apr 22 2005
"Gandhi, My Father","$5,000,000",Aug 03 2007
Good Night and Good Luck,"$7,000,000",Oct 07 2005
The General's Daughter,"$60,000,000",Jun 18 1999
Gun Shy,"$10,000,000",Feb 04 2000
Go!,"$6,500,000",Apr 09 1999
Goal!,"$33,000,000",May 12 2006
Godzilla 2000,"$1,000,000",Aug 18 2000
Godsend,"$30,000,000",Apr 30 2004
Godzilla,"$125,000,000",May 19 1998
Smiling Fish and Goat on Fire,"$40,000",Aug 25 2000
Gone in 60 Seconds,"$103,300,000",Jun 09 2000
Good,"$16,000,000",Dec 31 2008
Good Will Hunting,"$10,000,000",Feb 20 1987
Gosford Park,"$18,000,000",Dec 26 2001
Gossip,"$14,000,000",Apr 21 2000
The Game Plan,"$22,000,000",Sep 22 2007
Girl with a Pearl Earring,"$12,000,000",Dec 12 2003
Galaxy Quest,"$45,000,000",Dec 25 1999
Saving Grace,"$4,000,000",Aug 04 2000
Gracie,"$9,000,000",Jun 01 2007
The Great Raid,"$60,000,000",Aug 12 2005
The Grand,"$3,000,000",Mar 21 2008
The Constant Gardener,"$25,500,000",Aug 31 2005
Garden State,"$2,500,000",Jul 28 2004
Grease,"$6,000,000",Jun 16 1978
Green Zone,"$100,000,000",Mar 12 2010
George Of The Jungle,"$55,000,000",Jul 16 1997
The Brothers Grimm,"$80,000,000",Aug 26 2005
The Girl Next Door,"$25,000,000",Apr 09 2004
How the Grinch Stole Christmas,"$123,000,000",Nov 17 2000
Grindhouse,"$53,000,000",Apr 06 2007
Get Rich or Die Tryin',"$40,000,000",Nov 09 2005
Wallace & Gromit: The Curse of the Were-Rabbit,"$30,000,000",Oct 05 2005
Groove,"$500,000",Jun 09 2000
Grosse Point Blank,"$15,000,000",Apr 11 1997
The Grudge 2,"$20,000,000",Oct 13 2006
The Grudge,"$10,000,000",Oct 22 2004
Grown Ups,"$75,000,000",Jun 25 2010
Ghost Dog: Way of the Samurai,"$2,000,000",Mar 03 2000
Guess Who,"$35,000,000",Mar 25 2005
Get Carter,"$40,000,000",Oct 06 2000
Get Over It,"$10,000,000",Mar 09 2001
Veronica Guerin,"$17,000,000",Oct 17 2003
The Guru,"$11,000,000",Jan 31 2003
A Guy Thing,"$20,000,000",Jan 17 2003
Ghost World,"$5,500,000",Jul 20 2001
Halloween 2,"$15,000,000",Aug 28 2009
Hairspray,"$75,000,000",Jul 20 2007
Half Baked,"$8,000,000",Jan 16 1998
Hamlet,"$18,000,000",Dec 25 1996
Hamlet,"$2,000,000",May 12 2000
Hannibal the Conqueror,"$50,000,000",Dec 31 1969
Hancock,"$150,000,000",Jul 02 2008
Happily N'Ever After,"$47,000,000",Jan 05 2007
The Happening,"$60,000,000",Jun 13 2008
"Happy, Texas","$1,700,000",Oct 01 1999
Hard Candy,"$950,000",Apr 14 2006
Harsh Times,"$2,000,000",Nov 10 2006
Harvard Man,"$5,500,000",May 17 2002
Harry Brown,"$7,300,000",Apr 30 2010
The House Bunny,"$25,000,000",Aug 22 2008
The Devil's Rejects,"$7,000,000",Jul 22 2005
"House of 1,000 Corpses","$7,000,000",Apr 11 2003
The House of the Dead,"$7,000,000",Oct 10 2003
Hidalgo,"$78,000,000",Mar 05 2004
Hide and Seek,"$25,000,000",Jan 28 2005
Hoodwinked,"$17,500,000",Dec 16 2005
How Do You Know?,"$90,000,000",Dec 17 2010
Head of State,"$35,200,000",Mar 28 2003
Hedwig and the Angry Inch,"$6,000,000",Jul 20 2001
Pooh's Heffalump Movie,"$20,000,000",Feb 11 2005
He Got Game,"$25,000,000",May 01 1998
Heist,"$35,000,000",Nov 09 2001
Hellboy 2: The Golden Army,"$82,500,000",Jul 11 2008
Hellboy,"$60,000,000",Apr 02 2004
Raising Helen,"$50,000,000",May 28 2004
A Home at the End of the World,"$6,500,000",Jul 23 2004
Jet Li's Hero,"$17,000,000",Aug 27 2004
Here on Earth,"$15,000,000",Mar 24 2000
House of Flying Daggers,"$12,000,000",Dec 03 2004
Head Over Heels,"$14,000,000",Feb 02 2001
The Haunting,"$80,000,000",Jul 23 1999
High Crimes,"$42,000,000",Apr 05 2002
High Fidelity,"$20,000,000",Mar 31 2000
Highlander: Endgame,"$15,000,000",Sep 01 2000
High Heels and Low Lifes,"$10,000,000",Oct 26 2001
High School Musical 3: Senior Year,"$11,000,000",Oct 24 2008
The History Boys,"$3,700,000",Nov 21 2006
A History of Violence,"$32,000,000",Sep 23 2005
Hitch,"$55,000,000",Feb 11 2005
Hitman,"$17,500,000",Nov 21 2007
Harold & Kumar Escape from Guantanamo Bay,"$12,000,000",Apr 25 2008
Harold & Kumar Go to White Castle,"$9,000,000",Jul 30 2004
Held Up,"$8,000,000",May 12 2000
The Hills Have Eyes II,"$15,000,000",Mar 23 2007
The Hills Have Eyes,"$17,000,000",Mar 10 2006
How to Lose Friends & Alienate People,"$28,000,000",Oct 03 2008
Half Past Dead,"$25,000,000",Nov 15 2002
Halloween: H2O,"$17,000,000",Aug 05 1998
Halloween: Resurrection,"$15,000,000",Jul 12 2002
Holy Man,"$60,000,000",Oct 09 1998
Milk,"$20,000,000",Nov 26 2008
Hamlet 2,"$9,000,000",Aug 22 2008
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,"$6,500,000",Feb 01 2008
Home on the Range,"$110,000,000",Apr 02 2004
Hannibal Rising,"$50,000,000",Feb 09 2007
The Hangover,"$35,000,000",Jun 05 2009
Hanging Up,"$40,000,000",Feb 18 2000
The Hoax,"$25,000,000",Apr 06 2007
Holes,"$20,000,000",Apr 18 2003
The Holiday,"$85,000,000",Dec 08 2006
Hollow Man,"$90,000,000",Aug 04 2000
Holy Girl,"$1,400,000",Apr 29 2005
Home Fries,"$15,000,000",Nov 25 1998
Honey,"$18,000,000",Dec 05 2003
The Honeymooners,"$27,000,000",Jun 10 2005
Hoot,"$15,000,000",May 05 2006
Hope Floats,"$30,000,000",May 29 1998
Horton Hears a Who,"$85,000,000",Mar 14 2008
Hostel: Part II,"$7,500,000",Jun 08 2007
Hostage,"$75,000,000",Mar 11 2005
Hostel,"$4,800,000",Jan 06 2006
Hot Rod,"$25,000,000",Aug 03 2007
The Hours,"$25,000,000",Dec 27 2002
Life as a House,"$18,000,000",Oct 26 2001
Bringing Down the House,"$20,000,000",Mar 07 2003
House of Wax,"$35,000,000",May 06 2005
How to Deal,"$16,000,000",Jul 18 2003
How High,"$12,000,000",Dec 21 2001
Def Jam's How To Be a Player,"$12,000,000",Aug 06 1997
Harry Potter and the Chamber of Secrets,"$100,000,000",Nov 15 2002
Harry Potter and the Prisoner of Azkaban,"$130,000,000",Jun 04 2004
Harry Potter and the Goblet of Fire,"$150,000,000",Nov 18 2005
Harry Potter and the Order of the Phoenix,"$150,000,000",Jul 11 2007
Harry Potter and the Half-Blood Prince,"$250,000,000",Jul 15 2009
Harry Potter and the Sorcerer's Stone,"$125,000,000",Nov 16 2001
Happy Feet,"$85,000,000",Nov 17 2006
Hercules,"$70,000,000",Jun 15 1997
Hardball,"$21,000,000",Sep 14 2001
Hard Rain,"$70,000,000",Jan 16 1998
The Horse Whisperer,"$60,000,000",May 15 1998
The Heart of Me,"$7,000,000",Jun 13 2003
Casa de Areia,"$3,750,000",Aug 11 2006
Sorority Row,"$12,500,000",Sep 11 2009
Hart's War,"$70,000,000",Feb 15 2002
The Hitchhiker's Guide to the Galaxy,"$45,000,000",Apr 29 2005
High Tension,"$2,850,000",Jun 10 2005
Hot Fuzz,"$16,000,000",Apr 20 2007
Human Traffic,"$3,300,000",May 05 2000
How to Train Your Dragon,"$165,000,000",Mar 26 2010
I Heart Huckabees,"$22,000,000",Oct 01 2004
Hulk,"$137,000,000",Jun 20 2003
The Incredible Hulk,"$137,500,000",Jun 13 2008
The Hunchback of Notre Dame,"$100,000,000",Jun 21 1996
The Hunted,"$55,000,000",Mar 14 2003
Hurricane Streets,"$500,000",Feb 13 1998
The Hurt Locker,"$15,000,000",Jun 26 2009
Hustle & Flow,"$2,800,000",Jul 22 2005
Starsky & Hutch,"$60,000,000",Mar 05 2004
Hollywood Ending,"$16,000,000",May 03 2002
Hollywood Homicide,"$75,000,000",Jun 13 2003
Whatever it Takes,"$15,000,000",Mar 24 2000
Ice Age: The Meltdown,"$75,000,000",Mar 31 2006
Ice Age: Dawn of the Dinosaurs,"$90,000,000",Jul 01 2009
Ice Age,"$65,000,000",Mar 15 2002
Ice Princess,"$25,000,000",Mar 18 2005
The Ice Storm,"$18,000,000",Sep 27 1997
I Come with the Rain,"$18,000,000",Dec 31 1969
Identity,"$28,000,000",Apr 25 2003
An Ideal Husband,"$10,700,000",Jun 18 1999
Idlewild,"$15,000,000",Aug 25 2006
Igby Goes Down,"$9,000,000",Sep 13 2002
Igor,"$30,000,000",Sep 19 2008
I Got the Hook-Up!,"$3,500,000",May 27 1998
Idle Hands,"$15,000,000",Apr 30 1999
Imaginary Heroes,"$10,000,000",Dec 17 2004
I Still Know What You Did Last Summer,"$24,000,000",Nov 13 1998
I Know What You Did Last Summer,"$17,000,000",Oct 17 1997
"I Love You, Beth Cooper","$18,000,000",Jul 10 2009
The Illusionist,"$16,500,000",Aug 18 2006
But I'm a Cheerleader,"$1,200,000",Jul 07 2000
The Imaginarium of Doctor Parnassus,"$30,000,000",Dec 25 2009
Imagine Me & You,"$7,900,000",Jan 27 2006
Imagine That,"$55,000,000",Jun 12 2009
Impostor,"$40,000,000",Jan 04 2002
Inception,"$160,000,000",Jul 16 2010
In the Cut,"$12,000,000",Oct 22 2003
In Too Deep,"$7,000,000",Aug 25 1999
IndigËnes,"$18,900,000",Dec 15 2006
Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000",May 22 2008
In Dreams,"$30,000,000",Jan 15 1999
Infamous,"$13,000,000",Oct 13 2006
The Informant,"$22,000,000",Sep 18 2009
The Informers,"$18,000,000",Apr 24 2009
Inkheart,"$60,000,000",Jan 23 2009
In & Out,"$35,000,000",Sep 19 1997
I Now Pronounce You Chuck and Larry,"$85,000,000",Jul 20 2007
Inside Man,"$50,000,000",Mar 24 2006
The Insider,"$68,000,000",Nov 05 1999
Insomnia,"$46,000,000",May 24 2002
Inspector Gadget,"$75,000,000",Jul 23 1999
Instinct,"$55,000,000",Jun 04 1999
The Invention of Lying,"$18,500,000",Oct 02 2009
The Invasion,"$80,000,000",Aug 17 2007
Ira and Abby,"$3,500,000",Sep 14 2007
"I, Robot","$105,000,000",Jul 16 2004
Iron Man 2,"$170,000,000",May 07 2010
Iron Man,"$186,000,000",May 02 2008
The Iron Giant,"$50,000,000",Aug 04 1999
Obsluhoval jsem anglickÈho kr·le,"$4,900,000",Aug 29 2008
The Island,"$120,000,000",Jul 22 2005
Isn't She Great,"$36,000,000",Jan 28 2000
I Spy,"$70,000,000",Nov 01 2002
The Italian Job,"$60,000,000",May 30 2003
I Think I Love My Wife,"$14,000,000",Mar 16 2007
Jack Frost,"$50,000,000",Dec 11 1998
Jackie Brown,"$12,000,000",Dec 25 1997
The Jackal,"$60,000,000",Nov 14 1997
The Jacket,"$28,500,000",Mar 04 2005
Jakob the Liar,"$15,000,000",Sep 24 1999
Jarhead,"$72,000,000",Nov 04 2005
Jawbreaker,"$3,000,000",Feb 19 1999
The World is Not Enough,"$135,000,000",Nov 19 1999
Die Another Day,"$142,000,000",Nov 22 2002
Casino Royale,"$102,000,000",Nov 17 2006
Quantum of Solace,"$230,000,000",Nov 14 2008
Jennifer's Body,"$16,000,000",Sep 18 2009
Jackass: Number Two,"$11,000,000",Sep 22 2006
Jackass: The Movie,"$5,000,000",Oct 25 2002
Journey to the Center of the Earth,"$45,000,000",Jul 11 2008
Joe Dirt,"$16,000,000",Apr 11 2001
The Curse of the Jade Scorpion,"$26,000,000",Aug 24 2001
Jeepers Creepers,"$10,000,000",Aug 31 2001
Johnny English,"$45,000,000",Jul 18 2003
Jeepers Creepers II,"$25,000,000",Aug 29 2003
The Assassination of Jesse James by the Coward Robert Ford,"$30,000,000",Sep 21 2007
Johnson Family Vacation,"$12,000,000",Apr 07 2004
Jersey Girl,"$35,000,000",Mar 26 2004
The Jimmy Show,"$1,000,000",Dec 13 2002
Jindabyne,"$10,800,000",Apr 27 2007
Jackpot,"$400,000",Jul 27 2001
Just Like Heaven,"$58,000,000",Sep 16 2005
Just My Luck,"$28,000,000",May 12 2006
The Messenger: The Story of Joan of Arc,"$50,000,000",Nov 12 1999
The Jungle Book 2,"$20,000,000",Feb 14 2003
Joe Somebody,"$38,000,000",Dec 21 2001
Jonah Hex,"$47,000,000",Jun 18 2010
John Q,"$36,000,000",Feb 15 2002
Jonah: A VeggieTales Movie,"$14,000,000",Oct 04 2002
The Joneses,"$10,000,000",Apr 16 2010
Josie and the Pussycats,"$22,000,000",Apr 11 2001
Joy Ride,"$23,000,000",Oct 05 2001
Jerry Maguire,"$50,000,000",Dec 13 1996
Jay and Silent Bob Strike Back,"$22,000,000",Aug 24 2001
Jesus' Son,"$2,500,000",Jun 16 2000
Being Julia,"$18,000,000",Oct 15 2004
Julie & Julia,"$40,000,000",Aug 07 2009
Jumper,"$82,500,000",Feb 14 2008
Junebug,"$1,000,000",Aug 03 2005
Juno,"$7,000,000",Dec 05 2007
Jurassic Park 3,"$93,000,000",Jul 18 2001
Just Looking,"$3,000,000",Oct 13 2000
Just Married,"$19,000,000",Jan 10 2003
Juwanna Man,"$15,600,000",Jun 21 2002
Freddy vs. Jason,"$25,000,000",Aug 15 2003
K-19: The Widowmaker,"$90,000,000",Jul 19 2002
Kate and Leopold,"$48,000,000",Dec 25 2001
Kama Sutra,"$3,000,000",Feb 28 1997
Kangaroo Jack,"$60,000,000",Jan 17 2003
Kick-Ass,"$28,000,000",Apr 16 2010
The Original Kings of Comedy,"$3,000,000",Aug 18 2000
Kiss of the Dragon,"$25,000,000",Jul 06 2001
Kung Fu Hustle,"$20,000,000",Apr 08 2005
The Karate Kid,"$40,000,000",Jun 11 2010
The Kentucky Fried Movie,"$600,000",Aug 10 1977
Kicking and Screaming,"$45,000,000",May 13 2005
Kill Bill: Volume 2,"$55,000,000",Apr 16 2004
Kill Bill: Volume 1,"$55,000,000",Oct 10 2003
Kingdom Come,"$7,000,000",Apr 11 2001
Kingdom of Heaven,"$110,000,000",May 06 2005
Kinsey,"$11,000,000",Nov 12 2004
Kissing Jessica Stein,"$1,500,000",Mar 13 2002
Kiss the Girls,"$27,000,000",Oct 03 1997
King Kong,"$207,000,000",Dec 14 2005
Knocked Up,"$27,500,000",Jun 01 2007
Knight and Day,"$117,000,000",Jun 23 2010
The Kingdom,"$72,500,000",Sep 28 2007
Black Knight,"$35,000,000",Nov 21 2001
Knockaround Guys,"$15,000,000",Oct 11 2002
Knowing,"$50,000,000",Mar 20 2009
Knock Off,"$35,000,000",Sep 04 1998
K-PAX,"$48,000,000",Oct 26 2001
Christmas with the Kranks,"$50,000,000",Nov 24 2004
King's Ransom,"$25,000,000",Apr 22 2005
"Kiss Kiss, Bang Bang","$15,000,000",Oct 21 2005
A Knight's Tale,"$41,000,000",May 11 2001
The Kite Runner,"$20,000,000",Dec 14 2007
Kundun,"$28,000,000",Dec 25 1997
Kung Pow: Enter the Fist,"$10,000,000",Jan 25 2002
L.A. Confidential,"$35,000,000",Sep 19 1997
Law Abiding Citizen,"$53,000,000",Oct 16 2009
Ladder 49,"$60,000,000",Oct 01 2004
The Ladykillers,"$35,000,000",Mar 26 2004
Lady in the Water,"$75,000,000",Jul 21 2006
The Lake House,"$40,000,000",Jun 16 2006
Lakeview Terrace,"$20,000,000",Sep 19 2008
The Ladies Man,"$11,000,000",Oct 13 2000
Land of the Lost,"$100,000,000",Jun 05 2009
Changing Lanes,"$45,000,000",Apr 12 2002
Lars and the Real Girl,"$12,500,000",Oct 12 2007
L'auberge espagnole,"$5,900,000",May 16 2003
Laws of Attraction,"$32,000,000",Apr 30 2004
Little Black Book,"$30,000,000",Aug 06 2004
Layer Cake,"$6,500,000",May 13 2005
Larry the Cable Guy: Health Inspector,"$17,000,000",Mar 24 2006
Little Children,"$14,000,000",Oct 06 2006
Save the Last Dance,"$13,000,000",Jan 12 2001
George A. Romero's Land of the Dead,"$15,000,000",Jun 24 2005
Left Behind,"$18,500,000",Feb 02 2001
Legion,"$26,000,000",Jan 22 2010
I am Legend,"$150,000,000",Dec 14 2007
Leatherheads,"$58,000,000",Apr 04 2008
Life Before Her Eyes,"$12,000,000",Apr 18 2008
Letters from Iwo Jima,"$13,000,000",Dec 20 2006
"Life, or Something Like It","$40,000,000",Apr 26 2002
Last Holiday,"$45,000,000",Jan 13 2006
The Hurricane,"$38,000,000",Dec 29 1999
Liar Liar,"$45,000,000",Mar 21 1997
Equilibrium,"$20,000,000",Dec 06 2002
Chasing Liberty,"$23,000,000",Jan 09 2004
The Libertine,"$22,000,000",Nov 23 2005
L.I.E.,"$700,000",Sep 07 2001
The Life Aquatic with Steve Zissou,"$50,000,000",Dec 10 2004
The Life of David Gale,"$50,000,000",Feb 21 2003
Life,"$75,000,000",Apr 16 1999
Like Mike,"$30,000,000",Jul 03 2002
Lilo & Stitch,"$80,000,000",Jun 21 2002
Limbo,"$8,300,000",Jun 04 1999
Light It Up,"$13,000,000",Nov 10 1999
Living Out Loud,"$12,000,000",Oct 30 1998
The Lizzie McGuire Movie,"$15,000,000",May 02 2003
Letters to Juliet,"$30,000,000",May 14 2010
Lucky Break,"$6,000,000",Apr 05 2002
The Last King of Scotland,"$6,000,000",Sep 27 2006
Lolita,"$55,000,000",Jul 22 1998
Love Lisa,"$1,000,000",Dec 30 2002
Little Miss Sunshine,"$8,000,000",Jul 26 2006
In the Land of Women,"$10,500,000",Apr 20 2007
Lions for Lambs,"$35,000,000",Nov 09 2007
London,"$2,000,000",Feb 10 2006
How to Lose a Guy in 10 Days,"$50,000,000",Feb 07 2003
Loser,"$20,000,000",Jul 21 2000
The Losers,"$25,000,000",Apr 23 2010
The Lost City,"$9,600,000",Apr 28 2006
Lost In Space,"$80,000,000",Apr 03 1998
Lost and Found,"$14,000,000",Apr 23 1999
Lottery Ticket,"$17,000,000",Aug 20 2010
Love and Basketball,"$15,000,000",Apr 21 2000
Love Jones,"$10,000,000",Mar 14 1997
The Love Letter,"$15,000,000",May 21 1999
Lovely and Amazing,"$250,000",Jun 28 2002
The Lord of the Rings: The Two Towers,"$94,000,000",Dec 18 2002
The Lord of the Rings: The Return of the King,"$94,000,000",Dec 17 2003
The Lord of the Rings: The Fellowship of the Ring,"$109,000,000",Dec 19 2001
Lord of War,"$42,000,000",Sep 16 2005
